Types de métiers recherchés,Expérience professionnelle,Compétences,Formation,Compétences clés,Langues,Plus d'informations
" Commercial, vente Informatique, nouvelles technologies Marketing, communication Tourisme, hôtellerie, restauration"," Expérience dans les secteurs d´activité suivants : Administration publique Ingénierie, études développement Sport, action culturelle et sociale Télécom Éducation, formation Chef de projet Déploiement Fibre Optique KEOS Télécom 04.2022 - 04.2024 Analyse des besoins techniques, préparation des plannings Planification d’installations + MES d’OLT, PEAG, PEAR pour SFR Suivi journalier des opérations : 20 interventions par jour Gestion du stock : Déstockage matériel hebdomadaire"," Passionné par l'ingénierie des systèmes et les nouvelles technologies, j'ai acquis une solide expérience en gestion de projet dans le domaine des télécommunications. Capable d'analyser, de planifier et de coordonner efficacement des déploiements techniques, je cherche à mettre mes compétences au service d'une organisation innovante.", Niveau d'études : Bac+5 et plus Master Ingénierie des systèmes complexes Université Paris – Saclay 09.2020 - 09.2022 Licence 3 Sciences pour l'ingénieur Université Paris – Saclay 09.2019 - 09.2020 DUT Génie Electrique et Informatique Industrielle Université Sorbonne Paris XIII 09.2017 - 09.2019, Télécommunication, Anglais Bon niveau Berbère Courant Français Maternelle, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Paris Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Spécialiste développement, Majorel 07.2020 - 03.2025 • Participation au développement et amélioration de BOOST, une application sophistiquée de gestion des workflows de Back Office développée en C# ASP.NET et SQL Server, hébergée sur AWS. L'application permet aux équipes de production de piloter efficacement les traitements BO via des fonctionnalités de création de workflow, de monitoring d'activité en temps réel, de dashboard personnalisable, et d'interconnexions avec les systèmes clients. Contribution aux évolutions techniques incluant la gestion avancée des compétences, le paramétrage des règles d'intégration et l'optimisation des extractions de données. • Assurer le support niveau 2 d'une application ASP.NET permettant la vérification des IBAN banquaires pour les clients via un système d'abonnements. L'application permet aux clients de vérifier un ou plusieurs IBAN selon leur formule d'abonnement, en validant ces coordonnées bancaires auprès des banques européennes à travers différentes API. Développeur informatique NEWCO Communications 02.2019 - 06.2020 • Refonte d'application de gestion des tickets en ASP.NET et C# • Conception et réalisation d'une application intranet permettant la gestion des demandes de congé et la diffusion des informations en utilisant Laravel. Développeur informatique Eniac IT 09.2014 - 01.2019 Contribution au développement du progiciel Eniatex dédié à l'industrie textile et habillement complet, développement en VB.NET, SQL Server et DevExpress • Conception et développement du portail web du centre régional d'investissement de Marrakech • Conception et développement d'une application desktop en VB.NET • Contribution au développement d'une application intranet."," Fort d'une expérience significative en tant que Spécialiste développement chez Majorel Africa, j'ai approfondi ma maîtrise des méthodes agiles et des technologies ASP.NET MVC et API REST. Notre équipe a su développer des applications web innovantes et performantes, répondant aux besoins complexes et évolutifs de nos clients.  Chez NewCo Communications, ma contribution à la refonte d'applications de gestion et au développement d'une application intranet a été essentielle. Ma vision est d'apporter des solutions logicielles efficaces et adaptées, tout en restant à la pointe de la technologie, afin d'optimiser les processus et d'accroître la productivité au sein de l'entreprise.", Niveau d'études : Bac+4 Master Universitaire Professionnel en Génie Logiciel et Web Applications Faculté des Sciences et Techniques de Settat 09.2020 - 07.2021 Licence Universitaire Professionnelle en Ingénierie de Conception et de Développement d'Applications Faculté des Sciences et Techniques de Settat 09.2019 - 07.2020, ASPNET ADO NET DOTNET SQL Csharp SCRUM, Anglais Intermédiaire Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Laâyoune - Marrakech-Safi - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet services IT/SuperAdmin GLPI IWACO 05.2024 - 06.2024 Confique Active Durectory et Glpi /Ajoute materiel informatique comme les ordinateurs et l'imprémantes matériel réseau ...", Administrateur Systéme Windows Et Linux/Administrateur Réseau, Niveau d'études : Bac+2 Systéme et Réseau Informatique CMC AGADIR 10.2022 - 07.2024 Cités des Métiers et des Compétences, Administration Installation de Système Help Desk Customer Service, Anglais Intermédiaire Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Marrakech-Safi - Rabat-Salé-Kénitra - Settat Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Stage - Anapec
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Consultante technico-fonctionnel Nupsol 10.2022 - 03.2024 . La configuration de la solution fournit par Basikon pour des sujets micro-crédit et CRM. . L’intervention dans l’implémentation de la solution pour le projet Arrawaj et BMW. . Réalisation et suivi de TNR (Tests de non régression) pour les projets Arrawaj ,M3 et BMW."," Diplômée d'un Master en Data Science et Big Data de l'Université Hassan II de Casablanca, j'ai récemment enrichi mon expérience en tant que consultante technico-fonctionnel chez NUPSOL, où j'ai configuré et implémenté des solutions pour des projets de micro-crédit et CRM. Notre équipe a contribué à des projets tels que Arrawaj et BMW en assurant la réalisation et le suivi des tests de non régression, témoignant de notre engagement envers l'excellence et la qualité.  Passionnée par l'innovation et la résolution de problèmes complexes, je mets en pratique mes compétences en programmation orientée objet et ma maîtrise des méthodologies agiles comme Scrum. Je cherche une nouvelle opportunité où je pourrais continuer à développer mes compétences en analyses de données et soutenir les objectifs stratégiques d'une entreprise dynamique et visionnaire.", Niveau d'études : Bac+5 et plus Master Data science et big data Faculté des sciences Ben M'sick 09.2020 - 09.2022 License en sciences mathématiques et informatiques Faculté des sciences Ben M'sick 09.2017 - 08.2022, PYTHON JAVA JEE JAVASCRIPT JAVA SPRING HTML CSS ANGULAR JS BIG DATA, Anglais Intermédiaire Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Dakhla - Laâyoune - Marrakech-Safi - Oujda - Rabat-Salé-Kénitra - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Casablanca Types de contrats acceptés : CDI - CDD - Stage
" Informatique, nouvelles technologies Marketing, communication Secrétariat, assistanat Télémarketing, téléassistance"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Marketing, communication, médias Services autres Édition, imprimerie Éducation, formation non renseigné", Secrétaire office; Community manger des plateformes ; Analyste ; Communicateur ; Gestionnaire; Assurer l'assistanat," Niveau d'études : Bac+3 GENIE INFORMATIQUE INSTITUT SUPÉRIEURE DES SCIENCES,  DES TECHNOLOGIES ET DE L'INNOVATION DE YAOUNDÉ Depuis 09.2021 Concerne le génie logiciel dans l'ensemble ( base de donnée,  programme,  système informatique,  intelligence artificielle, big data,  e-business,  management d'entreprise,  communication)", 3D 2D, Anglais Bon niveau Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : YAOUNDÉ Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénieur R&D STMicroelectronics 10.2003 - 05.2005 Project & Team leader Lead Tech Design 06.2005 - 02.2010 Responsable de produit logiciel SAFRAN Morpho Depuis 03.2010"," Management de projets et des équipes Chiffrage/ préparation de devis et planification de projets Gestion de la communication avec le client Reporting, tableaux de bord projet •	Management des risques •	Responsable du délai/qualité des livrables et du coût des projets Mise en place des indicateurs sur les performances des projets/équipes (KPI) Mise en place de plans de montée en compétence des équipes Accompagnement des Team/Project leaders Management et animation d’équipe (Suivi RH, Formations, Evaluations,…) Recrutement des collaborateurs, Plan de charge Participation aux chantiers d’amélioration continue (Lean Sigma)", Niveau d'études : Bac+5 et plus Ingenieur electronique ENSERG - FRANCE 09.2000 - 06.2002,, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : dans 2 mois Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra Lieu de résidence : Rabat Types de contrats acceptés : CDI - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénierie, études développement software engineer systechra Depuis 03.2023  J'ai créé une application qui gère une collection d'écoles avec React.js et Node.js.  J’ai également réussi à migrer une ancienne base de données afin d'obtenir des données claires et structurées, en extrayant des éléments spécifiques de MySQL vers PostgreSQL en utilisant Hasura et Docker Developpeur fullstack soft and soft 01.2021 - 03.2023 En tant que développeuse chez soft and soft, j'ai maintenu des applications Java EE/JSF  développé de nouvelles solutions avec Spring Boot et Angular. J'ai collaboré pour résoudre des problèmes, optimiser les performances et améliorer mon expérience , renforçant ma compréhension des architectures logicielles."," Java, Spring Boot, Angular, TypeScript, JavaScript, PostgreSQL, Docker, C#, .NET, React,  Microservices, API REST, Architecture logicielle, DevOps, OOP, Agile.", Niveau d'études : Bac+5 et plus ingenieur en developpement informatique Ismagi 09.2021 - 07.2024 technicien spécialisé en développement informatique Istag 09.2019 - 06.2021,, Anglais Intermédiaire Arabe Maternelle Français Intermédiaire, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia - Rabat-Salé-Kénitra - International Lieu de résidence : Rabat Types de contrats acceptés : CDI - CDD - Freelance
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Recherche et développement Développeur FullStack CIPROTC Depuis 12.2023 Expérience en développement back-end et front-end avec Laravel, PHP, Java, Spring Boot, Angular et React. Gestion de bases de données, sécurité (Spring Security, Keycloak) et optimisation des performances. Travail en méthodologie Agile, avec expertise en tests (JUnit, Mockito) et intégration continue. Participation à des projets complexes, notamment en gestion des utilisateurs, réservation et reporting"," Développement FullStack (Java, Spring Boot, Laravel, PHP, Angular, React)  Base de données (MySQL, PostgreSQL, SQL Server)  Sécurité (Spring Security, Keycloak, JWT)  Tests et Qualité (JUnit, Mockito, JMeter) Architecture et Performance (Microservices, API REST, Multithreading)"," Niveau d'études : Bac+3 Génie Informatique facultés des sciences et techniques SETTAT 10.2019 - 10.2023 Formation axée sur le développement logiciel, les bases de données, et l’ingénierie logicielle.", Développement FullStack : Java Spring boot LARAVEL PHP Angular React Architecture logicielle : Microservices API REST Design patterns MVC Base de données : MySQL POSTGRESQL SQL SERVER optimisation des requêtes, Anglais Bon niveau Arabe Maternelle Français Courant, Disponibilité : immédiatement Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : CASABLANCA Types de contrats acceptés : CDI
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet assistent ingénieur d'informatique Alsa Transport Marrakech Depuis 10.2017", installation réseau informatique Word excel power point administration sous Windows et linux routage et switching Virtualisation, Niveau d'études : Bac+5 et plus technicien spécialise réseau informatique Institut spécialise réseau informatique 10.2015 - 07.2017 master professionnel of montana 10.2024 - 10.2025, LINUX EXCEL, Anglais Débutant Arabe Bon niveau Français Bon niveau, Disponibilité : immédiatement Mobilité géographique : Marrakech-Safi Lieu de résidence : Marrakech Types de contrats acceptés : CDI - CDD
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet Ingénierie, études développement Recherche et développement Éducation, formation Maître de Conférence Université Sidi Mohammed Ben Abdellah de Fes. Depuis 12.2024 Spécialité : Informatique, Cloud Computing et Big Data Missions : ✓ Recherche Scientifique. ✓ Enseignement (Cours magistraux/TD/TP), encadrement et évaluation. ✓ Réalisation des travaux d'expertise et de conseil. Chef de Service des Systèmes d’Information et de Communication. Ministère  de l’Intérieur. Depuis 12.2019 Missions : ✓ Veiller au respect de la politique de sécurité du système d'information élaborée par le ministère. ✓ Administration de l’infrastructure globale SI (Réseaux, Systèmes, Téléphonie et Sécurité) et sa maintenance. ✓ Administartion Bases de Données. ✓ Piloter la gouvernance et la transformation numérique au niveau de la province et veiller sur sa mise en œuvre. ✓ Assurer le suivi des opérations de mutualisation et d’interopérabilité numérique entre la province, les communes et les administartions territoriales de la province. ✓ Elaborer et mettre à disposition des structures métiers, des solutions et des ressources numériques ainsi que des méthodes et outils favorisant le partage des meilleurs pratiques professionnelles. ✓ Piloter et promettre la dématérialisation des processus administratifs pour décloisonner l’administration et favoriser l’adoption des meilleurs pratiques professionnelles au niveau des pachaliks et annexes administratives. ✓ Gérer les relations avec les prestataires. ✓ Veille technologique. ✓ Gérer une équipe d’ingénieurs et de techniciens. ✓ Définition des KPI de performances et remontée des tableaux de bords pour la gouvernance des opérations Nationaux (Registre National de la Population/Registre Social Unifié, Registre National de la Vaccination Anti-COVID19, Tajnid, Hajj, modérnisation de l’Etat Civil, …). ✓ Accompagner et former les collaborateurs. Chef de Service SI & SMQ Centre Régional d’Investissement de Casablanca-Settat. 09.2011 - 12.2019 Missions : ✓ Définir une politique du système d'information en cohésion avec la stratégie générale du centre. ✓ Piloter les évolutions du système d'information. ✓ Gestion des budgets du fonctionnement et d'investissement SI. ✓ Etude et préconisation des solutions informatiques. ✓ Choix des outils, matériel et logiciels. ✓ Elaboration puis contrôle du respect des cahiers des charges, des délais et des budgets de chaque projet. ✓ Planification et contrôle des projets. ✓ Gérer les relations avec les prestataires. ✓ Veille technologique. ✓ Assurer la sécurité du système d’information. ✓ S'assurer de la mise en place des procédures qualité. ✓ Engager les actions correctives et préventives pour remédier aux déficiences trouvées. ✓ Planifier et animer les réunions qualité. ✓ Programmer, mettre en œuvre les audits. ✓ Initier et suivre la mise en œuvre ainsi que l’efficacité des actions correctives et préventives. ✓ Assurer que les processus nécessaires au SMQ sont efficaces. ✓ Assurer la maîtrise documentaire du SMQ. ✓ Rendre compte à la direction du fonctionnement du SMQ et de tout besoin d’amélioration. ✓ Préparer les revues de direction. ✓ Encourager la sensibilisation aux exigences du client. Stage de fin d’étude au siège de la Royal Air Maroc à Casablanca. Royal Air Maroc 02.2011 - 06.2011 Casablanca - Maroc | Type de contrat : CDI/Statutaire | Secteur d'activité : Informatique/Technologies de l'information | Descriptif de la structure : Société marocaine de transport aérien | Résumé de la mission : Stage de fin d'étude Sujet: Conception et réalisation d'une application pour la réconciliation des ventes et encaissements. Outils: 2EE (Eclipse), Tomcate 6, JSF, RichFaces, Tomahawk, Hibernate, Oracle, POI, SpringSecurity, MD5, CSS, SVN (Tortoise). Soutenu le : 20 Juin 2011, Mention : «Honorable avec félicitations du jury » Stage de fin d’année au siège de la Royal Air Maroc à Casablanca. Royal Air Maroc 07.2010 - 09.2010 Casablanca - Maroc | Type de contrat : CDI/Statutaire | Secteur d'activité : Informatique/Technologies de l'information | Descriptif de la structure : Société marocaine du transport aérien | Résumé de la mission : Stage de fin d’année Sujet : Gestion des retenues sur avances et prêts. Outils : Java (Netbeans), Mysql, Framework POI. Stage de fin d’année à l’OCP de Safi. OCP de Safi. 07.2009 - 07.2009 Sujet: Gestion des arrêts."," Bureautique  : Word, Excel, PowerPoint, Access. Systèmes  d’exploitation  : MS-DOS, Windows 95/98/00/XP/Vista/Seven. Linux (Distributions: Debian, Red Hat et Fedora), Windows Server. Virtualisation/Conteneurisation : VirtualBox, Microsoft Hyper-V, VMware Workstation, Vmware Esxi, Proxmox VE. Docker, Docker Compose, Docker Swarm. Cloud Computing : Microsoft Azure, Openstack. Analyse des données : Microsoft Power BI. Langages de programmation : Turbo Pascal, Visual Basic 6, C/C++, C#, PL/SQL, Java/J2EE, Maple, Matlab, Assembleur 6809. Langages de conception  :  Merise, UML. Programmation web :  HTML, Java Script , XML, CSS, PHP, Applets Java, Python. Frameworks  :  Hibernate, JSF, Struts, Spring, SpringSecurity, CodeIgniter, Angular. SGBD  :  Oracle, MySQL, SQLServer. Logiciels  :  PHOTOSHOP, CATIA, BLENDER, OGRE, DREAMWEAVER, CMS JOOMLA, Microsoft Office Project, Tortoise (SVN), MYSQL WORKBENCH. Réseaux   :  Certifié CCNA1, CCNA2, CCNA3 et CCNA4. LAN, MAN, WAN, DNS, DHCP, Wifi, ARP, RIP, OSPF, SNMP, … Simulateurs : Cisco Packet Tracer, GNS3 Outils de sécurité : Wireshark,Fortinet FortiGate, Sophos Cyberoam UTM. Cryptographie : RSA, MD5, AES, DES, SHA2, … Outils de Recherche Scientifique :  SPSS, LATEX, MENDELEY, ORIGINLAB, INKSCAPE. Autres  :  Gestion de projet, Recherche Opérationnelle."," Niveau d'études : Bac+5 et plus Doctorat en Informatique, Réseaux, Cloud Computing et Sécurité. Faculté des Sciences et Techniques Gueliz-Marrakech, université CADI AYYAD Marrakech. 09.2014 - 09.2020 Mention : Très Honorable | Spécialisation : Informatique, Réseaux, Cloud Computing et Sécurité.  Mon doctorat portait sur la sécurité des données stockées dans les plateformes Cloud Computing, en particulier sur la gestion de la sécurité des machines virtuelles et l’utilisation d'outils cryptographiques. J'ai proposé des solutions pour contrer les Side Channel Attacks, notamment le système SAFEPERIMETER pour la protection de la cache L3, et développé le système FADE-TPM pour la suppression sécurisée des données. Tout au long de mes recherches, j'ai activement participé et communiqué mes travaux lors de conférences et événements nationaux et internationaux, notamment au SMART CITY EXPO à Barcelone, à l'ICCQIS à Istanbul, au SMART CITY EXPO, SMART CITY HACKATHON à Casablanca, ..., et à la FSSM à Marrakech, où j'ai remporté le prix de la meilleure présentation orale en anglais. Mes travaux ont également été publiés dans des journaux et conférences indexés SCOPUS et THOMSON. Ingénieur d'état en génie informatique Ecole Nationale des Sciences Appliquées (ENSA) 09.2007 - 06.2011 SAFI - Maroc | Diplôme : Ingénieur d'état en génie informatique | Mention : Assez-Bien | Spécialisation : Informatique | Formation : Ingénieur d'état en génie informatique : BAC+5.  Ma formation à l'ENSAS m'a permis d'acquérir des compétences techniques solides dans les systèmes d'information, renforcées par des stages à l'Office Chérifien des Phosphates et la Royal Air Maroc. Cette expérience m'a appris à être un acteur du changement en transformant les idées en actions concrètes. En parallèle, j'ai développé un esprit entrepreneurial à travers des projets réalisés au sein de l'école et en freelance, ce qui m'a permis de m'auto-former et de rester à jour avec les avancées technologiques. Cela m'a également poussé à innover et à m'adapter rapidement aux besoins du marché. Mon intérêt pour l'enseignement et la recherche s'est affirmé au fil du temps, m'orientant naturellement vers un parcours doctoral, où je continue d'explorer et de transmettre mes connaissances. Baccalauréat série Electronique Lycée Technique AL KHAWARIZMI 09.2005 - 07.2006 L'option ""Électronique"" était très sélective, avec une seule classe pour toute la ville. Cette formation, dispensée en français, m'a permis d'acquérir des bases solides en mathématiques spécialisées, physique spécialisée, dessin industriel,..., et en algorithmique et programmation en PASCAL. Grâce à cela, j'étais déjà familiarisé avec plusieurs matières enseignées en école d'ingénieur, ce qui a confirmé mon choix pour les études supérieures.", WORD EXCEL POWERPOINT ACCESS MS-DOS Windows 95/98/00/XP/Vista/Seven LINUX DEBIAN Red Hat FEDORA windows server Virtualisation Conteneurisation VirtualBox Microsoft Hyper-V VMware Workstation VMware ESXi Proxmox VE DOCKER Docker Compose Docker Swarm Cloud Computing Microsoft Azure OPENSTACK analyse des données microsoft Power BI Turbo Pascal Visual Basic 6 C/C++ C# pl/sql Java/j2ee MAPLE MATLAB Assembleur 6809 Conception MERISE UML HTML Java Script XML CSS PHP Applets Java PYTHON HIBERNATE JSF STRUTS SPRING SPRINGSECURITY CODEIGNITER Angular SGBD ORACLE MYSQL SQLserver PHOTOSHOP CATIA BLENDER OGRE DREAMWEAVER CMS JOOMLA Microsoft Office Project Tortoise (SVN) MYSQL WORKBENCH réseaux CCNA1 CCNA2 CCNA3 et CCNA4 Comptia Security+ LAN MAN WAN DNS DHCP WIFI ARP RIP OSPF SNMP Simulateurs Cisco packet tracer Gns3 Outils de sécurité Wireshark Fortinet FortiGate Sophos Cyberoam UTM Cryptographie RSA MD5 AES DES SHA2 Outils de Recherche Scientifique SPSS latex MENDELEY ORIGINLAB INKSCAPE gestion de projet recherche opérationnelle Entreprenariat, Anglais Courant Arabe Maternelle Français Courant, Disponibilité : dans 1 mois Mobilité géographique : Casablanca-Mohammedia Lieu de résidence : Casablanca Types de contrats acceptés : CDI - Freelance
" Transport, logistique Informatique, nouvelles technologies Production, maintenance, qualité Transport, logistique"," Expérience dans les secteurs d´activité suivants : Import, export Industrie, production, fabrication, autres Informatique, SSII, Internet Transports, logistique, services postaux Éducation, formation Stagiaire chaîne logistique JBABRA Depuis 02.2024 Stagiaire en chaîne logistique chez MMES & CN (Casablanca)  Missions: Gestion des stocks, planification des livraisons, organisation des transports, suivi des opérations.  Compétences acquises: Maîtrise des procédures logistiques, planification, négociation, suivi des performances, analyse de données.  Réalisations: Mise en place d'un système de suivi des stocks, optimisation des itinéraires de livraison, réduction des coûts de transport, amélioration de la satisfaction client.  Apprentissages: Approfondissement des connaissances en logistique, développement des compétences en gestion de projet, expérience concrète en entreprise, travail en équipe."," Maîtrise des normes de sécurité et de protection environnementale.  Gestion du système d'information logistique et des matériels associés.  Expertise en approvisionnement.  Coordination des opérations logistiques.  Planification stratégique des opérations logistiques.  Utilisation des tableaux de bord spécifiques aux secteurs du transport et de la logistique.  Connaissance des contraintes réglementaires, matérielles, humaines, financières et environnementales.  Maîtrise des documents relatifs au transport et à la logistique. Capacités en optimisation des processus avec des outils informatiques.  Résolution de problèmes et prise de décisions.  Adaptabilité et flexibilité, capable de s'ajuster rapidement aux changements, aux évolutions technologiques, aux fluctuations de la demande et aux situations imprévues dans le domaine logistique en constante évolution."," Niveau d'études : Bac+2 Exploitation option logistique et transport institut specialise dans les metiers ue transport routier et de la logistique Kénitra Depuis 03.2022 Établissement: Institut Spécialisé dans les Métiers de Transport Routier et de la Logistique (ISMTRL) Lieu: Kénitra, Maroc, Durée: 2 ans, Niveau d'études: Bac+2 Objectifs de la formation: Acquérir une solide connaissance des métiers de la logistique et du transport. Développer des compétences en matière de gestion des stocks, planification des livraisons, organisation des transports et suivi des opérations. Maîtriser les outils informatiques et les logiciels spécifiques à la logistique. Savoir travailler en équipe et gérer des situations complexes. Compétences acquises: Compétences techniques: Maîtrise des procédures et techniques de la logistique et du transport, Capacité à gérer les stocks et à planifier les livraisons, Aptitude à organiser les transports et à respecter les réglementations, Utilisation des outils informatiques et des logiciels spécifiques à la logistique Compétences transversales: Rigueur et méthodologie, Capacité d'analyse et de résolution de problèmes, Esprit d'équipe et communication efficace, Autonomie et initiative, Adaptabilité et flexibilité Classement: Majorant de ma promotion", Exploitation Logistique E-Logistique Domaine du Transport Exploitation Transport Chaîne Logistique Flux Logistiques Génie Logistique Activités Logistiques Planification de Transport, Anglais Bon niveau Français Courant, Disponibilité : immédiatement Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : KENITRA Types de contrats acceptés : CDI - CDD - Intérim - Stage - Freelance - Alternance - Temps partiel - Statutaire
" Informatique, nouvelles technologies"," Expérience dans les secteurs d´activité suivants : Informatique, SSII, Internet non renseigné", HTML; CSS; JS; Bootstrap; Tailwind; PHP; Laravel; SQL; Vue.Js; React.Js; MySQL; Git; API," Niveau d'études : Bac+1 Développement Web YouCode(simplon.co/Um6p/OCP) Depuis 10.2023 YouCode, une école de programmation au Maroc, offre une formation pratique axée sur les projets, dispensée par des professionnels. Les étudiants y acquièrent des compétences en développement web et en programmation, avec un accent sur la diversité et l'inclusion",, Français Bon niveau, Disponibilité : dans 3 mois Mobilité géographique : Agadir - Béni Mellal-Khénifra - Casablanca-Mohammedia - Dakhla - Errachidia - Fès - Guelmim - Laâyoune - Marrakech-Safi - Meknès - Oujda - Rabat-Salé-Kénitra - Settat - Tanger-Tétouan-Al Hoceïma - International Lieu de résidence : Safi Types de contrats acceptés : CDI - Stage
